RunId,iteration,Step,env_type,threshold_mean,threshold_std,observation_radius,n_agents,repression_step,instigator_threshold,dispersal_duration,cell_capacity,max_steps,seed,Mobilized,Dispersing,Sheltered,Demobilized,MobilizedProportion
57,0,10,kampung,0.25,0.2,1,200,1,0.15,3,15,100,,165,0,4,31,0.825
58,0,99,kampung,0.25,0.2,1,200,1,0.15,3,15,100,,137,0,31,32,0.685
59,0,99,kampung,0.25,0.2,1,200,1,0.15,3,15,100,,163,0,1,36,0.815
60,0,99,kampung,0.3,0.1,0,200,1,0.15,3,15,100,,21,0,157,22,0.105
61,0,99,kampung,0.3,0.1,0,200,1,0.15,3,15,100,,14,0,160,26,0.07
62,0,99,kampung,0.3,0.1,0,200,1,0.15,3,15,100,,10,0,149,41,0.05
63,0,99,kampung,0.3,0.1,0,200,1,0.15,3,15,100,,36,0,137,27,0.18
64,0,99,kampung,0.3,0.1,0,200,1,0.15,3,15,100,,48,0,121,31,0.24
65,0,99,kampung,0.3,0.1,0,200,1,0.15,3,15,100,,19,0,159,22,0.095
66,0,99,kampung,0.3,0.1,0,200,1,0.15,3,15,100,,10,0,157,33,0.05
67,0,99,kampung,0.3,0.1,0,200,1,0.15,3,15,100,,13,0,155,32,0.065
68,0,99,kampung,0.3,0.1,0,200,1,0.15,3,15,100,,33,0,132,35,0.165
69,0,99,kampung,0.3,0.1,0,200,1,0.15,3,15,100,,18,0,149,33,0.09
70,0,99,kampung,0.3,0.1,1,200,1,0.15,3,15,100,,15,0,147,38,0.075
71,0,99,kampung,0.3,0.1,1,200,1,0.15,3,15,100,,17,0,156,27,0.085
72,0,99,kampung,0.3,0.1,1,200,1,0.15,3,15,100,,15,0,151,34,0.075
73,0,99,kampung,0.3,0.1,1,200,1,0.15,3,15,100,,37,0,126,37,0.185
74,0,99,kampung,0.3,0.1,1,200,1,0.15,3,15,100,,18,0,155,27,0.09
75,0,99,kampung,0.3,0.1,1,200,1,0.15,3,15,100,,12,0,160,28,0.06
76,0,99,kampung,0.3,0.1,1,200,1,0.15,3,15,100,,7,0,157,36,0.035
77,0,99,kampung,0.3,0.1,1,200,1,0.15,3,15,100,,9,0,154,37,0.045
78,0,99,kampung,0.3,0.1,1,200,1,0.15,3,15,100,,14,0,154,32,0.07
79,0,99,kampung,0.3,0.1,1,200,1,0.15,3,15,100,,23,0,146,31,0.115
80,0,99,kampung,0.3,0.15,0,200,1,0.15,3,15,100,,83,0,80,37,0.415
81,0,99,kampung,0.3,0.15,0,200,1,0.15,3,15,100,,76,0,85,39,0.38
82,0,99,kampung,0.3,0.15,0,200,1,0.15,3,15,100,,62,0,97,41,0.31
83,0,99,kampung,0.3,0.15,0,200,1,0.15,3,15,100,,39,0,125,36,0.195
84,0,99,kampung,0.3,0.15,0,200,1,0.15,3,15,100,,47,0,111,42,0.235
85,0,99,kampung,0.3,0.15,0,200,1,0.15,3,15,100,,65,0,101,34,0.325
86,0,99,kampung,0.3,0.15,0,200,1,0.15,3,15,100,,75,0,101,24,0.375
87,0,99,kampung,0.3,0.15,0,200,1,0.15,3,15,100,,61,0,111,28,0.305
88,0,99,kampung,0.3,0.15,0,200,1,0.15,3,15,100,,57,0,101,42,0.285
89,0,99,kampung,0.3,0.15,0,200,1,0.15,3,15,100,,80,0,74,46,0.4
90,0,99,kampung,0.3,0.15,1,200,1,0.15,3,15,100,,21,0,148,31,0.105
91,0,99,kampung,0.3,0.15,1,200,1,0.15,3,15,100,,170,0,3,27,0.85
92,0,99,kampung,0.3,0.15,1,200,1,0.15,3,15,100,,177,0,1,22,0.885
93,0,99,kampung,0.3,0.15,1,200,1,0.15,3,15,100,,93,0,69,38,0.465
94,0,99,kampung,0.3,0.15,1,200,1,0.15,3,15,100,,115,0,55,30,0.575
95,0,99,kampung,0.3,0.15,1,200,1,0.15,3,15,100,,94,0,68,38,0.47
96,0,99,kampung,0.3,0.15,1,200,1,0.15,3,15,100,,66,0,104,30,0.33
97,0,10,kampung,0.3,0.15,1,200,1,0.15,3,15,100,,178,0,1,21,0.89
98,0,13,kampung,0.3,0.15,1,200,1,0.15,3,15,100,,169,0,5,26,0.845
99,0,99,kampung,0.3,0.15,1,200,1,0.15,3,15,100,,123,0,46,31,0.615
100,0,99,kampung,0.3,0.2,0,200,1,0.15,3,15,100,,54,0,106,40,0.27
101,0,99,kampung,0.3,0.2,0,200,1,0.15,3,15,100,,69,0,96,35,0.345
102,0,99,kampung,0.3,0.2,0,200,1,0.15,3,15,100,,95,0,67,38,0.475
103,0,99,kampung,0.3,0.2,0,200,1,0.15,3,15,100,,93,0,71,36,0.465
104,0,99,kampung,0.3,0.2,0,200,1,0.15,3,15,100,,101,0,78,21,0.505
105,0,99,kampung,0.3,0.2,0,200,1,0.15,3,15,100,,60,0,106,34,0.3
106,0,99,kampung,0.3,0.2,0,200,1,0.15,3,15,100,,100,0,66,34,0.5
107,0,99,kampung,0.3,0.2,0,200,1,0.15,3,15,100,,89,0,82,29,0.445
108,0,99,kampung,0.3,0.2,0,200,1,0.15,3,15,100,,82,0,82,36,0.41
109,0,99,kampung,0.3,0.2,0,200,1,0.15,3,15,100,,96,0,77,27,0.48
110,0,99,kampung,0.3,0.2,1,200,1,0.15,3,15,100,,126,0,40,34,0.63
111,0,99,kampung,0.3,0.2,1,200,1,0.15,3,15,100,,145,0,10,45,0.725
112,0,99,kampung,0.3,0.2,1,200,1,0.15,3,15,100,,167,0,2,31,0.835
113,0,99,kampung,0.3,0.2,1,200,1,0.15,3,15,100,,175,0,2,23,0.875
114,0,10,kampung,0.3,0.2,1,200,1,0.15,3,15,100,,172,0,3,25,0.86
115,0,99,kampung,0.3,0.2,1,200,1,0.15,3,15,100,,129,0,41,30,0.645
116,0,99,kampung,0.3,0.2,1,200,1,0.15,3,15,100,,171,0,2,27,0.855
117,0,99,kampung,0.3,0.2,1,200,1,0.15,3,15,100,,168,0,2,30,0.84
118,0,99,kampung,0.3,0.2,1,200,1,0.15,3,15,100,,36,0,123,41,0.18
119,0,99,kampung,0.3,0.2,1,200,1,0.15,3,15,100,,125,0,39,36,0.625
120,0,99,kampung,0.35,0.1,0,200,1,0.15,3,15,100,,2,0,163,35,0.01
121,0,99,kampung,0.35,0.1,0,200,1,0.15,3,15,100,,8,0,157,35,0.04
122,0,99,kampung,0.35,0.1,0,200,1,0.15,3,15,100,,7,0,156,37,0.035
123,0,99,kampung,0.35,0.1,0,200,1,0.15,3,15,100,,6,0,164,30,0.03
124,0,99,kampung,0.35,0.1,0,200,1,0.15,3,15,100,,11,0,152,37,0.055
125,0,99,kampung,0.35,0.1,0,200,1,0.15,3,15,100,,8,0,155,37,0.04
126,0,99,kampung,0.35,0.1,0,200,1,0.15,3,15,100,,8,0,156,36,0.04
127,0,99,kampung,0.35,0.1,0,200,1,0.15,3,15,100,,2,0,170,28,0.01
128,0,99,kampung,0.35,0.1,0,200,1,0.15,3,15,100,,10,0,156,34,0.05
129,0,99,kampung,0.35,0.1,0,200,1,0.15,3,15,100,,4,0,168,28,0.02
130,0,99,kampung,0.35,0.1,1,200,1,0.15,3,15,100,,4,0,173,23,0.02
131,0,99,kampung,0.35,0.1,1,200,1,0.15,3,15,100,,5,0,159,36,0.025
132,0,99,kampung,0.35,0.1,1,200,1,0.15,3,15,100,,9,0,162,29,0.045
133,0,99,kampung,0.35,0.1,1,200,1,0.15,3,15,100,,2,0,164,34,0.01
134,0,99,kampung,0.35,0.1,1,200,1,0.15,3,15,100,,4,0,172,24,0.02
135,0,99,kampung,0.35,0.1,1,200,1,0.15,3,15,100,,5,0,171,24,0.025
136,0,99,kampung,0.35,0.1,1,200,1,0.15,3,15,100,,3,0,157,40,0.015
137,0,99,kampung,0.35,0.1,1,200,1,0.15,3,15,100,,4,0,170,26,0.02
